status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5281959998_10151472549144999,"Paul Krugman writes in The New York Times Opinion Section: ""A lot of Trumpâ€™s speech was devoted to lamenting a wave of violent crime by immigrants. Was this racist? Yes, of course. But saying that doesnâ€™t capture the full evil of what he was doing.""",Opinion | Worse Than Willie Horton,link,https://www.nytimes.com/2018/01/31/opinion/worse-than-willie-horton.html?smid=fb-nytimes&smtyp=cur,1/31/18 18:55,3666,339,939,2382,28,41,48,316,851,0
5281959998_10151472543629999,"Even as deficits creep up to $1 trillion and the national debt has topped $20 trillion, lawmakers are on a spending spree.","As Deficit Soars Toward $1 Trillion, Congress Shrugs and Keeps Spending",link,https://www.nytimes.com/2018/01/30/us/politics/federal-deficit-1-trillion.html?smid=fb-nytimes&smtyp=cur,1/31/18 18:25,6537,1092,3998,1481,13,652,203,249,3935,4
5281959998_10151472521709999,10 men arranged their chairs in a circle. They were encouraged to say to each other what they were uncomfortable saying publicly about #MeToo.,The #MeToo Moment: Iâ€™m a Straight Man. Now What?,link,https://www.nytimes.com/2018/01/31/us/the-metoo-moment-im-a-straight-man-now-what.html?smid=fb-nytimes&smtyp=cur,1/31/18 18:25,430,95,57,382,19,4,25,0,1,-1
5281959998_10151472344254999,"""We are this Cinderella story and we didnâ€™t really mean it to be this.""Seun Adigun, Ngozi Onwumere and Akuoma Omeoga of Team Nigeria are making history as the first African team to compete in bobsled at the Olympics.  http://nyti.ms/2Fxxhf2Photo: Benjamin Lowy for The New York Times",,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10151472333694999/?type=3,1/31/18 17:56,875,29,69,735,125,10,5,0,0,0
5281959998_10151472315499999,"He lost an arm and a leg trying to feed his starving family. On Tuesday, President Trump honored Ji Seong-ho at the State of the Union address.","North Korean Defector, Honored by Trump, Has a Remarkable Escape Story",link,https://www.nytimes.com/2018/01/31/world/asia/north-korean-defector-trump.html?smid=fb-nytimes&smtyp=cur,1/31/18 17:25,327,111,57,261,32,6,17,5,6,0
5281959998_1975082439375935,"After two contested elections last year left the country divided, Kenyans supporting the opposition leader, Raila Odinga, took matters into their own hands.",An Alternative President in Kenya,video,https://www.facebook.com/nytimes/videos/1975082439375935/,1/31/18 17:10,131,20,38,106,9,7,1,4,4,0
5281959998_10151472191659999,"It's cool, yet hot.","Cucumber Salad With Soy, Ginger and Garlic Recipe",link,https://cooking.nytimes.com/recipes/1015023-cucumber-salad-with-soy-ginger-and-garlic?smid=fb-nytimes&smtyp=cur,1/31/18 16:55,1003,83,456,923,58,16,4,2,0,0
5281959998_10151472294314999,"â€œWhen baby boomers and Generation X or Y or whatever decide to start using us as punching bags instead of millennials, itâ€™s gonna be much harder to whine about us if theyâ€™re forced to call us The Scapegoats.â€ù",We Asked Generation Z to Pick a Name. It Wasnâ€™t Generation Z.,link,https://www.nytimes.com/2018/01/31/style/generation-z-name.html?smid=fb-nytimes&smtyp=cur,1/31/18 16:25,1899,195,156,1381,104,11,399,2,1,1
5281959998_10151472266704999,If either Saoirse Ronan or TimothÃ©e Chalamet win an Oscar for their performances â€” hers in Lady Bird or his in Call Me By Your Name â€” they would be among the youngest actors ever to do so.,How to Come of Age Onscreen? Saoirse Ronan and TimothÃ©e Chalamet Know,link,https://www.nytimes.com/2018/01/31/arts/saoirse-ronan-timothee-chalamet-lady-bird-call-me-by-your-name.html?smid=fb-nytimes&smtyp=cur,1/31/18 15:55,1891,103,107,1636,230,16,4,0,1,4
5281959998_10151472452824999,"â€œToday is a great day for elephants."" _Ÿê˜","Hong Kong Closes Loophole in Ivory Ban, Outlawing All Sales",link,https://www.nytimes.com/2018/01/31/world/asia/hong-kong-elephant-ivory.html?smid=fb-nytimes&smtyp=cur,1/31/18 15:41,2484,34,291,2113,356,10,0,1,1,3
5281959998_10151472450079999,"Bryan Collier has won 4 Caldecott Honors and many other awards for his children's book illustrations. His latest book is ""Between the Lines: How Ernie Barnes Went from the Football Field to the Art Gallery."" He is with Maria Russo, childrenâ€™s book editor for The New York Times Books, to demonstrate his art and talk about children's books, illustration and Black History Month.",The New York Times Books,video,https://www.facebook.com/nytbooks/videos/1781346171895882/,1/31/18 15:36,117,7,21,98,19,0,0,0,0,0
5281959998_10151472444854999,Breaking News: U.S. prosecutors sought information on FIFA and Olympic organizations in a far-reaching investigation of international sports corruption.,"Justice Department Solicits Information Pertaining to FIFA, I.O.C. and U.S.O.C.",link,https://www.nytimes.com/2018/01/31/sports/fifa-ioc-usoc-iaaf.html?smid=fb-nytimes&smtyp=cur,1/31/18 15:29,120,15,20,95,10,10,3,0,2,0
5281959998_10151472301719999,"A.o. Scott wrestles with how much he and other fans have been influenced by Woody Allen: â€œI donâ€™t mean this as a defense, but as an acknowledgment of betrayal and shame.â€ù",My Woody Allen Problem,link,https://www.nytimes.com/2018/01/31/movies/woody-allen.html?smid=fb-nytimes&smtyp=cur,1/31/18 15:25,499,145,86,427,21,20,9,6,14,2
5281959998_10151472253944999,"On Tuesday, James Harden, the Houston Rockets guard, scored the most points in a triple double in NBA history.",Five Things About James Hardenâ€™s Triple Double,link,https://www.nytimes.com/2018/01/31/sports/basketball/james-harden-triple-double.html?smid=fb-nytimes&smtyp=cur,1/31/18 15:10,188,1,24,159,14,13,0,1,1,0
5281959998_10151472205674999,"Jason Brown's spins and jumps defy the increasingly muscular norms of male figure skating. Read more: http://nyti.ms/2nvi9rdVideo: Holly Andres",The Unabashed Beauty of Jason Brown on Ice,video,https://www.facebook.com/nytimes/videos/10151472205674999/,1/31/18 14:55,2649,189,187,2065,319,257,6,0,0,2
5281959998_1975042646046581,"During his State of the Union speech, President Trump spoke about unity and the American family. But his tweets often tell a darker, more divided story.",Trumpâ€™s Speech vs. Trumpâ€™s Tweets,video,https://www.facebook.com/nytimes/videos/1975042646046581/,1/31/18 14:40,934,383,174,519,15,21,113,23,242,1
5281959998_10151472381769999,"Now back to our regularly scheduled acrimony. Despite President Trumpâ€™s call for bipartisanship, the polarized mood in Congress is unlikely to change.",From â€˜New American Momentâ€™ to Same Partisan Rancor,link,https://www.nytimes.com/2018/01/31/us/politics/state-of-the-union-trump-partisanship.html?smid=fb-nytimes&smtyp=cur,1/31/18 14:33,142,56,24,97,6,2,22,9,5,1
5281959998_10151472209764999,"In its first year, the showâ€™s deeply collaborative approach has succeeded beyond anyoneâ€™s expectation: â€œThe Dailyâ€ù has been downloaded more than 200 million times and was the most popular new podcast on Apple Podcasts in 2017.","How â€˜The Dailyâ€™ Comes Together, One Year In",link,https://www.nytimes.com/2018/01/30/insider/the-daily-michael-barbaro-podcast.html?smid=fb-nytimes&smtyp=cur,1/31/18 14:25,332,28,21,292,35,3,0,1,0,1
5281959998_10151472197464999,"If an amateur paleontologist had not spotted the slab of rock and its fossilized footprints that one day, it would have been obliterated by construction.","Where NASA Put a Parking Lot, Dinosaurs and Mammals Once Crossed Paths",link,https://www.nytimes.com/2018/01/31/science/dinosaurs-footprints-nasa.html?smid=fb-nytimes&smtyp=cur,1/31/18 13:55,886,25,153,652,43,182,2,4,2,1
5281959998_10151472171154999,"In The Good Place, morality is not something you have; itâ€™s something you do. Itâ€™s a muscle that requires exercise. The show shares with dramas like Breaking Bad the belief that being good is hard.",How â€˜The Good Placeâ€™ Became an Antihero Antidote,link,https://www.nytimes.com/2018/01/31/arts/the-good-place-kristen-bell-ted-danson.html?smid=fb-nytimes&smtyp=cur,1/31/18 13:40,4940,281,638,4373,542,14,8,1,0,2
5281959998_10151472330599999,"Breaking News: The FBI director clashed with the president, condemning a push to release a G.O.P. memo accusing the bureau of mishandling the Russia inquiry.",F.B.I. Director Condemns Republicansâ€™ Move to Release Secret Memo,link,https://www.nytimes.com/2018/01/31/us/politics/fbi-director-republicans-secret-memo.html?smid=fb-nytimes&smtyp=cur,1/31/18 13:16,3783,421,662,3064,190,315,66,39,103,6
5281959998_10151472326279999,"Representative Trey Gowdy, a Tea Party figure known for his relentless Benghazi investigation, said he was leaving the House.","Trey Gowdy, Who Led House Benghazi Inquiry, Will Not Seek Re-election",link,https://www.nytimes.com/2018/01/31/us/politics/trey-gowdy-resigns.html?smid=fb-nytimes&smtyp=cur,1/31/18 13:13,7198,1516,672,4862,834,128,1294,44,32,4
5281959998_10151472181689999,"""For his first State of the Union address, someone switched the usual president with decaf.""","Trump Sands Down the Edges, at Least for a Night",link,https://www.nytimes.com/2018/01/30/arts/television/president-trump-state-of-the-union-speech.html?smid=fb-nytimes&smtyp=cur,1/31/18 12:55,289,185,24,111,8,6,147,4,11,2
5281959998_10151472297224999,"Breaking News: The Department of Justice moved to dismiss the remaining corruption charges against Senator Robert Menendez, the New Jersey Democrat.",Justice Department Moves to Dismiss Corruption Case Against Menendez,link,https://www.nytimes.com/2018/01/31/nyregion/justice-department-moves-to-dismiss-corruption-case-against-menendez.html?smid=fb-nytimes&smtyp=cur,1/31/18 12:43,396,29,51,273,29,25,7,2,57,3
5281959998_10151472099364999,"Amazon, Berkshire Hathaway and JPMorgan offer no details on how they'll remake health care, so we asked experts to use their imaginations.","â€˜Dr. Alexa, Iâ€™ve Been Sneezing and My Throat Is Soreâ€™",link,https://www.nytimes.com/2018/01/30/business/amazon-health-care-plan-reaction.html?smid=fb-nytimes&smtyp=cur,1/31/18 12:25,144,25,33,112,4,3,22,1,2,0
